pregunta,clase
¿En qué año se fundó la ciudad de Madrid?,TemporalAnyo
¿Cuál fue el año de la Revolución Francesa?,TemporalAnyo
¿Cuál fue el año en que se inventó el teléfono?,TemporalAnyo
¿En qué año se firmó el Tratado de Tordesillas?,TemporalAnyo
¿Cuál fue el año de la independencia de México?,TemporalAnyo
¿Cuál fue el año en que se descubrió América?,TemporalAnyo
¿En qué año se publicó "El Quijote" de Cervantes?,TemporalAnyo
¿Cuál fue el año de la caída del Muro de Berlín?,TemporalAnyo
¿Cuál fue el año en que se inauguró el Canal de Panamá?,TemporalAnyo
¿En qué año se produjo la Revolución Industrial?,TemporalAnyo
¿Cuál fue el año de la muerte de Leonardo da Vinci?,TemporalAnyo
¿Cuál fue el año en que se firmó el tratado de Versalles?,TemporalAnyo
¿En qué año se declaró la independencia de Estados Unidos?,TemporalAnyo
¿Cuál fue el año de la construcción de la Torre Eiffel?,TemporalAnyo
¿Cuál fue el año en que se inventó la imprenta?,TemporalAnyo
¿En qué año se produjo la Batalla de Waterloo?,TemporalAnyo
¿Cuál fue el año de la muerte de William Shakespeare?,TemporalAnyo
¿Cuál fue el año en que se creó la Organización de las Naciones Unidas (ONU)?,TemporalAnyo
¿En qué año se inició la Primera Guerra Mundial?,TemporalAnyo
¿Cuál fue el año de la coronación de la Reina Isabel II?,TemporalAnyo
¿Cuál fue el año en que se produjo la caída del Imperio Romano de Occidente?,TemporalAnyo
¿En qué año se promulgó la Constitución de los Estados Unidos de América?,TemporalAnyo
¿Cuál fue el año de la invención del avión?,TemporalAnyo
¿Cuál fue el año en que se produjo la Revolución Rusa?,TemporalAnyo
¿En qué año se descubrió la penicilina?,TemporalAnyo
¿En qué año se produjo la Batalla de Stalingrado?,TemporalAnyo
¿Cuál fue el año de la coronación de Napoleón Bonaparte como emperador de Francia?,TemporalAnyo
¿Cuál fue el año en que se creó la Unión Europea?,TemporalAnyo
¿En qué año se fundó la compañía Microsoft?,TemporalAnyo
¿Cuál fue el año en que se construyó el Coliseo Romano?,TemporalAnyo
¿Cuál fue el año de la creación del primer iPhone?,TemporalAnyo
¿En qué año se inició la Segunda Guerra Mundial?,TemporalAnyo
¿Cuál fue el año en que se produjo la caída del Imperio Azteca?,TemporalAnyo
¿Cuál fue el año de la coronación de la Reina Victoria del Reino Unido?,TemporalAnyo
¿En qué año se produjo la Revolución Industrial en Gran Bretaña?,TemporalAnyo
¿Cuál fue el año en que se creó la primera computadora personal?,TemporalAnyo
¿Cuál fue el año de la fundación del Imperio Incaico?,TemporalAnyo
¿En qué año se produjo la Revolución Francesa?,TemporalAnyo
¿Cuál fue el año en que se inventó la máquina de vapor?,TemporalAnyo
¿Cuál fue el año de la creación de la primera universidad del mundo?,TemporalAnyo
¿En qué año se produjo la caída del Imperio Romano de Oriente?,TemporalAnyo
¿Cuál fue el año de la creación de la OMS (Organización Mundial de la Salud)?,TemporalAnyo
¿Cuál fue el año en que se produjo la caída del Imperio Egipcio?,TemporalAnyo
¿En qué año se produjo el descubrimiento de la tumba de Tutankamón?,TemporalAnyo
¿Cuál fue el año de la fundación del Reino de España?,TemporalAnyo
¿En qué año se produjo la independencia de Brasil?,TemporalAnyo
¿Cuál fue el año en que se creó la primera red social en línea?,TemporalAnyo
¿En qué año se produjo la creación del primer motor de combustión interna?,TemporalAnyo
¿Cuál fue el año de la creación del primer satélite artificial?,TemporalAnyo
¿En qué año se produjo la fundación de la ciudad de Buenos Aires?,TemporalAnyo